symbol,date,score,n_headlines
JNJ,2015-05-19,0.3341175,5
JNJ,2015-05-20,0.014551401,6
JNJ,2015-05-21,0.031020394,4
JNJ,2015-05-22,-0.41327208,2
JNJ,2015-05-27,-0.562065,2
JNJ,2015-05-28,0.5805069,1
JNJ,2015-05-29,-0.79771304,1
JNJ,2015-06-01,0.6277806,3
JNJ,2015-06-04,0.91808754,1
JNJ,2015-06-05,-0.9497975,1
JNJ,2015-06-08,-0.9408088,2
JNJ,2015-06-09,0.9256261,1
JNJ,2015-06-11,-0.057412364,1
JNJ,2015-06-15,-0.9497975,1
JNJ,2015-06-19,0.7946256,1
JNJ,2015-06-26,-0.057412364,1
JNJ,2015-07-07,0.09518915,2
JNJ,2015-07-10,0.0039693564,1
JNJ,2015-07-13,0.4684136,2
JNJ,2015-07-14,0.07567646,7
JNJ,2015-07-28,0.042263947,1
JNJ,2015-07-29,-0.057412364,1
JNJ,2015-08-03,0.70817673,1
JNJ,2015-08-04,0.010439625,1
JNJ,2015-08-10,0.04308027,2
JNJ,2015-08-12,-0.03746747,2
JNJ,2015-08-13,0.016947601,1
JNJ,2015-08-18,-0.1468126,1
JNJ,2015-08-19,-0.8719959,1
JNJ,2015-08-21,0.032286346,1
JNJ,2015-08-24,-0.02192786,1
JNJ,2015-08-25,0.066455245,3
JNJ,2015-09-01,0.030125268,1
JNJ,2015-09-02,-0.95824057,1
JNJ,2015-09-08,-0.5404511,1
JNJ,2015-09-09,-0.05741258,1
JNJ,2015-09-18,0.06816092,2
JNJ,2015-09-22,0.038501605,1
JNJ,2015-09-25,-0.04640323,3
JNJ,2015-09-28,0.88962996,1
JNJ,2015-09-29,0.44298294,4
JNJ,2015-10-05,0.2636137,3
JNJ,2015-10-06,-0.5335493,1
JNJ,2015-10-07,-0.021272065,1
JNJ,2015-10-09,0.6237246,1
JNJ,2015-10-12,-0.014726013,1
JNJ,2015-10-13,-0.24985743,13
JNJ,2015-10-14,0.8690511,2
JNJ,2015-10-16,0.8219122,1
JNJ,2015-10-19,0.65345484,3
JNJ,2015-10-21,0.106832944,1
JNJ,2015-10-26,0.8599858,1
JNJ,2015-10-29,0.58932424,2
JNJ,2015-11-04,-0.1699764,2
JNJ,2015-11-06,0.7529805,1
JNJ,2015-11-09,0.91029567,1
JNJ,2015-11-16,0.008035447,1
JNJ,2015-11-23,0.018993607,1
JNJ,2015-12-01,0.5849864,5
JNJ,2015-12-07,-0.2583762,2
JNJ,2015-12-08,0.9332485,1
JNJ,2015-12-10,-0.015694225,1
JNJ,2015-12-16,0.022723584,1
JNJ,2015-12-18,0.11740927,1
JNJ,2015-12-21,0.11286893,3
JNJ,2015-12-22,0.68863004,1
JNJ,2015-12-23,-0.1611106,3
JNJ,2015-12-30,0.41095075,1
JNJ,2016-01-04,0.049488064,1
JNJ,2016-01-06,0.48084682,1
JNJ,2016-01-07,0.7813555,1
JNJ,2016-01-08,0.42991525,2
JNJ,2016-01-11,0.93109775,1
JNJ,2016-01-13,0.89772964,1
JNJ,2016-01-14,0.02659135,2
JNJ,2016-01-15,0.058512382,2
JNJ,2016-01-19,0.21849656,6
JNJ,2016-01-25,-0.036437627,2
